datetime,low,high,open,close,volumefrom,volumeto
2020-10-13,48.85,50.75,50.67,49.87,24379.92,1217273.68
2020-10-14,49.31,51.06,49.87,49.84,16662.11,834317.17
2020-10-15,48.88,50.26,49.84,49.47,20563.52,1019821.36
2020-10-16,45.55,49.88,49.47,47.59,48460.85,2288116.87
2020-10-17,46.33,47.65,47.59,46.89,16676.5,783966.01
2020-10-18,46.85,47.97,46.89,47.6,12671.55,601612.54
2020-10-19,46.84,48.46,47.6,48.01,17986.97,858190.26
2020-10-20,46.46,48.4,48.01,46.89,28995.1,1371787.28
2020-10-21,46.89,55.01,46.89,53.24,97973.8,5027680.6
2020-10-22,53.24,56.36,53.24,54.54,66150.96,3643399.56
2020-10-23,53.18,57.0,54.54,55.43,48610.06,2691412.06
2020-10-24,55.08,59.68,55.43,59.26,56715.53,3290134.8
2020-10-25,56.6,60.02,59.26,58.84,41574.5,2426729.16
2020-10-26,54.99,59.3,58.84,56.92,47797.36,2725695.42
2020-10-27,56.63,59.3,56.92,57.95,53169.71,3075227.97
2020-10-28,54.74,60.55,57.95,55.95,69249.37,3969811.26
2020-10-29,53.41,56.55,55.95,54.91,40002.8,2212600.2
2020-10-30,52.33,55.77,54.91,54.07,39555.0,2122274.35
2020-10-31,53.71,56.45,54.07,55.74,59197.47,3253698.26
2020-11-01,54.26,56.07,55.74,55.6,9831.19,542323.7
2020-11-02,53.1,56.78,55.6,53.92,47019.96,2549941.03
2020-11-03,51.27,54.4,53.92,53.92,37420.44,1979174.03
2020-11-04,51.64,55.21,53.92,54.72,56862.46,3047677.43
2020-11-05,54.72,59.79,54.72,58.96,101921.97,5867248.94
2020-11-06,58.67,63.76,58.96,63.39,99326.36,6097181.14
2020-11-07,57.08,64.83,63.39,59.0,147165.59,9015170.84
2020-11-08,58.71,62.02,59.0,61.06,40528.47,2443330.46
2020-11-09,57.47,61.85,61.06,59.28,63712.02,3788878.29
2020-11-10,57.13,59.63,59.28,57.92,79399.34,4642297.07
2020-11-11,57.9,60.69,57.92,59.29,53759.54,3209403.11
2020-11-12,57.76,60.81,59.29,60.74,60743.81,3580179.4
2020-11-13,60.25,66.67,60.74,65.85,146051.38,9313375.64
2020-11-14,61.77,66.24,65.85,63.99,65558.29,4148798.61
2020-11-15,61.14,64.48,63.99,62.36,37173.68,2332521.79
2020-11-16,62.21,74.58,62.36,73.89,142918.86,9877336.67
2020-11-17,71.47,77.06,73.89,76.44,137979.68,10237131.63
2020-11-18,68.19,77.18,76.44,73.82,111627.2,8156764.44
2020-11-19,71.29,84.0,73.82,81.66,162460.25,12746067.84
2020-11-20,80.13,85.76,81.66,82.52,107877.93,8910802.63
2020-11-21,80.22,88.55,82.52,87.2,130434.57,11026960.72
2020-11-22,77.13,87.99,87.2,82.94,128249.68,10747626.13
2020-11-23,80.96,90.93,82.94,89.22,185374.94,16074083.24
2020-11-24,85.4,94.0,89.22,89.33,168870.44,15179320.37
2020-11-25,78.01,90.53,89.33,81.72,110896.9,9582045.85
2020-11-26,64.5,83.19,81.72,71.0,197670.86,14348215.98
2020-11-27,65.29,73.63,71.0,69.09,151500.63,10404055.29
2020-11-28,68.39,75.0,69.09,72.55,136287.19,9774192.43
2020-11-29,71.61,81.07,72.55,78.98,91959.49,7026860.13
2020-11-30,76.69,88.5,78.98,87.66,198340.78,16354363.44
2020-12-01,78.39,93.0,87.66,85.22,238323.55,20850933.01
2020-12-02,82.75,90.74,85.22,89.06,284724.62,24878369.17
2020-12-03,85.53,91.32,89.06,89.14,129031.89,11456813.44
2020-12-04,77.95,89.82,89.14,80.05,117703.65,9979635.19
2020-12-05,78.75,84.36,80.05,83.18,89141.18,7347591.78
2020-12-06,80.4,85.17,83.18,83.83,48003.84,3987188.3
